"name","method","fixweighting","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"no smoothing","none",true,1,20,0.002601320030220396,0.028711435712125713,0.0026371145176712083,0.018183615019660457,0.0013118702213751863,0.00333907408127398,0.03136956868683145,0.0036046396271762608,0.02126500936159868,0.0017586745175676493
"polynomial (order 1)","polynomial",true,1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
"polynomial (order 1)","polynomial",true,1,1,0.08199085419352564,0.21065021036381268,0.04508593345416896,0.07642531271594956,0.02602810492117493,0.062483116169471886,0.20601727793392854,0.04219382757152071,0.07376738823351267,0.023898607101372215
"polynomial (order 1)","polynomial",true,1,2,0.08245312605447706,0.21004305828497474,0.045119462175690975,0.07646510707598181,0.02607251216023959,0.06270069244717058,0.20645934798870472,0.04221994663580976,0.07380036247316654,0.023932353984150438
"polynomial (order 1)","polynomial",true,1,3,0.08246072573525587,0.21003257182890345,0.04512004361508927,0.07646578592215858,0.02607325496266479,0.06270426733495486,0.20646671479805387,0.04222038371064433,0.07380091067850601,0.023932909660473827
"polynomial (order 1)","polynomial",true,1,4,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,5,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,6,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,7,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,8,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,9,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,10,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,11,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,12,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,13,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,14,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,15,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,16,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,17,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,18,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,19,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 1)","polynomial",true,1,20,0.0824605826180865,0.21003166737917245,0.04511989529446626,0.07646566265607102,0.02607317373418623,0.06270410049443728,0.2064664620163749,0.04222026129632426,0.07380080487128213,0.023932841282845976
"polynomial (order 2)","polynomial",true,1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
"polynomial (order 2)","polynomial",true,1,1,0.08199085419352564,0.21065021036381268,0.04508593345416896,0.07642531271594956,0.02602810492117493,0.062483116169471886,0.20601727793392854,0.04219382757152071,0.07376738823351267,0.023898607101372215
"polynomial (order 2)","polynomial",true,1,2,0.04529163050838227,0.17528188459443228,0.03362423611275066,0.06543050253935996,0.0183333937849858,0.038510853057372875,0.17210278470600898,0.030905316379888068,0.0626130579450778,0.01663372434722538
"polynomial (order 2)","polynomial",true,1,3,0.04442017031506903,0.17334524298346204,0.03323141549755458,0.06503053539926568,0.018088654290038877,0.03759545539248615,0.17015151563700026,0.03046702004833303,0.06213830192487801,0.016350456299548222
"polynomial (order 2)","polynomial",true,1,4,0.044381427136636876,0.17325127532007734,0.03321469863585689,0.06501338867160135,0.018078125096258186,0.03755500986981554,0.17005730502438876,0.03044783234216801,0.06211738572850475,0.016337988867095313
"polynomial (order 2)","polynomial",true,1,5,0.04437958137099593,0.17324668227265919,0.03321393317069834,0.06501260042860058,0.01807763490690472,0.037553084269292596,0.1700525114490845,0.03044693219119994,0.062116402724920736,0.016337399645266922
"polynomial (order 2)","polynomial",true,1,6,0.04437950575743163,0.17324649747785364,0.03321390346637087,0.0650125695902084,0.018077615541150217,0.037553008284973446,0.17005233992062196,0.030446897370596217,0.06211636455661079,0.016337376649837806
"polynomial (order 2)","polynomial",true,1,7,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,8,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,9,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,10,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,11,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,12,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,13,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,14,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,15,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,16,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,17,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,18,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,19,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 2)","polynomial",true,1,20,0.044379504976743776,0.1732464585188891,0.033213902062501764,0.06501256826560467,0.018077614928660113,0.0375530065253392,0.17005231201492962,0.03044689515269732,0.06211636234832531,0.016337375612014968
"polynomial (order 3)","polynomial",true,1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
"polynomial (order 3)","polynomial",true,1,1,0.08199085419352564,0.21065021036381268,0.04508593345416896,0.07642531271594956,0.02602810492117493,0.062483116169471886,0.20601727793392854,0.04219382757152071,0.07376738823351267,0.023898607101372215
"polynomial (order 3)","polynomial",true,1,2,0.04398232690119078,0.17598222807865677,0.03327475859977601,0.06505067534986417,0.018074246187238307,0.03710415154523595,0.17350543084364098,0.030469021299579627,0.062100010364201284,0.01628633649070167
"polynomial (order 3)","polynomial",true,1,3,0.043045688813881836,0.17411708966883097,0.03282966964086995,0.06459896867646016,0.01780356543087736,0.03618277598139223,0.17162793716501437,0.029968137999308427,0.06156264251020041,0.015975914677035925
"polynomial (order 3)","polynomial",true,1,4,0.04300758173694265,0.17402827834692294,0.03281105588656732,0.06458007068121735,0.017792357090532528,0.03614583514441579,0.17153630640989054,0.02994697432817403,0.061539996458891556,0.015963052065331475
"polynomial (order 3)","polynomial",true,1,5,0.04300596235855237,0.17402415983469616,0.03281023627307621,0.06457924147835158,0.017791867391644144,0.0361442749561472,0.17153163972718186,0.029946060060898935,0.06153902137773656,0.015962501268038082
"polynomial (order 3)","polynomial",true,1,6,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,7,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,8,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,9,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,10,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,11,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,12,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,13,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,14,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,15,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,16,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,17,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,18,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,19,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 3)","polynomial",true,1,20,0.04300580032195483,0.1740236488928029,0.03281013735080923,0.06457914271821714,0.017791810462140945,0.03614410416148045,0.17153105651566253,0.029945938640459982,0.06153889465387883,0.015962433173725685
"polynomial (order 4)","polynomial",true,1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
"polynomial (order 4)","polynomial",true,1,1,0.08199085419352564,0.21065021036381268,0.04508593345416896,0.07642531271594956,0.02602810492117493,0.062483116169471886,0.20601727793392854,0.04219382757152071,0.07376738823351267,0.023898607101372215
"polynomial (order 4)","polynomial",true,1,2,0.04431514998378146,0.17690426116210606,0.033790476328602784,0.06554625492767731,0.018337840542986067,0.03721734218252966,0.17474224698422994,0.030886463786644707,0.06249509538007216,0.016454038519476133
"polynomial (order 4)","polynomial",true,1,3,0.043680696829811023,0.175574635272975,0.03348263671641095,0.06523666555716395,0.01815209412736931,0.03661996644665642,0.17337704299534645,0.030530083818974558,0.062119895890962826,0.016240814357297094
"polynomial (order 4)","polynomial",true,1,4,0.04364339661119522,0.17548959685479165,0.033463031606235795,0.06521700517071101,0.018140467849332282,0.03658588109562783,0.173286325255791,0.030507959963819012,0.06209676395854929,0.01622799215069046
"polynomial (order 4)","polynomial",true,1,5,0.043640144054538185,0.1754818155646879,0.03346114162163945,0.06521512161211625,0.018139377146688524,0.03658293487791905,0.17327873550891493,0.03050592028816596,0.062094643626630565,0.016226838561611365
"polynomial (order 4)","polynomial",true,1,6,0.043639888736256405,0.17548150561532994,0.03346100787974522,0.06521498723156127,0.018139295844877036,0.03658268694566189,0.1732782389204194,0.03050576952868813,0.06209448549975865,0.01622674842278962
"polynomial (order 4)","polynomial",true,1,7,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,8,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,9,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,10,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,11,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,12,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,13,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,14,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,15,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,16,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
"polynomial (order 4)","polynomial",true,1,17,0.04363981176659744,0.17548122737465982,0.033460961430727305,0.06521494107861993,0.018139270033734764,0.03658261497737228,0.17327785133313947,0.03050570068392685,0.062094415735435275,0.01622671355144476
