"name","method","b","J","cond_R","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"univariate","univariate",1,21,94571.06740032377,3.2544975271364334,1.0661654134232825,1.7661548590437302,0.5968462443721234,1.1028117742147336,3.342789708328736,1.0594174818327373,1.7654107683069364,0.5962046920737663,1.109447108617099
"univariate","univariate",1,24,8735.094666656349,2.3859995966439107,1.2989386109100796,1.494335363351723,0.5280760104939803,0.8936215750235603,2.4470025108296447,1.3023727381627876,1.4867226899724444,0.5270825159524406,0.8937567781401393
"univariate","univariate",1,27,2026.713278716173,1.1582754495792649,0.5593564710670859,0.7813387842612464,0.37101778858101186,0.4454697333397529,1.1104355566173663,0.5588675142807153,0.7750358717542692,0.3696231747331028,0.4388345443972387
"univariate","univariate",1,30,752.9476080943294,2.2024005763910406,0.6867135989317852,1.4423266506219599,0.5442374338215066,0.8488268328272199,2.5895701612724267,0.6869536126249881,1.4527613428706163,0.5469843892262031,0.8679870010489378
"univariate","univariate",1,34,532.7810588018276,0.7943213585850946,0.44655372788105424,0.5333679029250056,0.2958234267203077,0.29925338696495973,0.8374552530606493,0.43545404231632323,0.5258170906057108,0.2943948952552921,0.2982272351296111
"univariate","univariate",1,38,280.1528724885539,3.8931052123290852,0.8249112605847138,0.687530886640187,0.3390001599577635,0.5240735411353338,4.8110662919661396,0.8168723379021505,0.6957824382248997,0.34279102564595687,0.548343604676272
"univariate","univariate",1,43,221.55498529191308,0.8983076047177553,0.5537965405720585,0.7414703663207401,0.36184778289344344,0.41204950930058987,0.8429027725701776,0.5398308977704169,0.7130456596047952,0.3550541459864401,0.3936610794834989
"univariate","univariate",1,49,181.1238363720737,87.19008800942095,0.7791509986297516,0.9986801876078372,0.4349549825132882,0.7727161124116629,11.457338539240142,0.7769952175830797,0.982430727363843,0.4299855081296123,0.6714818350586135
"univariate","univariate",1,55,147.582889250872,0.9735119749435514,0.6132073077613279,0.6157758941608051,0.345185695347102,0.3523681292158304,1.368992863022763,0.609564390308242,0.6262876142824699,0.3495337935650911,0.3688059267796322
"univariate","univariate",1,63,115.14904028035414,2.851982567394528,0.6679273293890025,0.9836193062094534,0.44476726182812065,0.603746046770855,4.639087076752976,0.6725562588020888,0.9802732252644486,0.44541154424362484,0.6245972884347072
"univariate","univariate",1,71,91.89182343136594,1.398665772168709,0.4792382506925778,0.5202332019023064,0.30480569852423595,0.3292538261777607,2.133848837082952,0.48079374993518764,0.5110836191327335,0.30476435188858225,0.3382593727689739
"univariate","univariate",1,80,82.25031697161208,1.1103755230934258,0.493855628158487,0.7725786761153504,0.3851383357352571,0.43459699485867265,1.3845539321660914,0.48834261458362394,0.7736686126751524,0.38707034723357564,0.44115115587488146
"univariate","univariate",1,90,73.54014893474859,2.579608451037876,0.4325922002633925,0.5428550745092945,0.3144754634308218,0.3790918262828673,4.275287899921715,0.4333496061056217,0.5453568349474479,0.31728350794779114,0.40361155611610666
"univariate","univariate",1,101,56.827579884375425,1.2406059578507873,0.4584045760206743,0.6717798032162452,0.3611495382284013,0.38631072538047495,1.7940855135072655,0.4632545787072747,0.6808986227357494,0.365248298202578,0.40358333691933146
"univariate","univariate",1,115,49.86740091604317,1.2804728468380366,0.2765920813399154,0.4175107426705408,0.28904977513791463,0.2307028140318602,0.4409353961933827,0.28241950726049553,0.4154373410340994,0.28771849414155876,0.22095181193447427
"univariate","univariate",1,129,39.830420538077355,0.37522992263210303,0.30053955671143145,0.3562235382809383,0.2239191135063408,0.18077298661818367,0.45554334733789414,0.30352600256564954,0.36697379181113254,0.228542312517748,0.19059892509725276
"univariate","univariate",1,146,36.56476385040671,2.729162574206996,0.4913448363078694,0.5278804559425789,0.3208255270019538,0.3745746742496229,4.634567481567062,0.48571245727931167,0.5206471630583887,0.3215852544893119,0.3959668187337147
"univariate","univariate",1,165,32.03867694872709,1.4823304653829634,0.3318606104892966,0.5487036289868521,0.32243958396142,0.3055419984988515,0.7149997780602625,0.33788646350215407,0.5494252983226747,0.321868964988426,0.3003414865021957
"univariate","univariate",1,186,29.990047046748575,2.4614743935235435,0.5447067962708463,0.5791506325275284,0.330744350010785,0.3803292878995925,4.279208698208,0.5458971392267216,0.5947773825021284,0.3373037451799178,0.41353524561816224
"univariate","univariate",1,210,27.216582394340588,0.6165341959949535,0.30257297730104615,0.5197688134975212,0.3033004640778309,0.27440523162925684,0.6185461902028435,0.3031915049273227,0.5259816589324555,0.3057617738036267,0.2797876482020776
"$k$-means","kmeans",1,21,2821.719427131796,138.3836973087794,2.648301687628263,1.8213958470906328,0.6398475094561704,1.9597556002527265,34.139850829583516,2.660004157242405,1.8226547800421797,0.6377595237456369,1.8105571544299888
"$k$-means","kmeans",1,24,504.704177816844,144.24419993597223,1.7791887931994272,1.160865007146916,0.4621286562543112,1.044020166624168,19.75254399773896,1.7862998143698516,1.131333329955285,0.45295614026883574,0.9033064285978122
"$k$-means","kmeans",1,27,128.30827587832243,41.15266391526336,1.9339866135336252,1.2411319279196371,0.49815498809420244,0.9731537868033746,7.894153759167886,1.9456890831477687,1.2191842374139232,0.4912045095213983,0.8862378108489622
"$k$-means","kmeans",1,30,130.14500499764094,3.8822931773379405,1.8031317110794975,1.3446309495982585,0.4951483305339561,0.8858075177171103,3.51735547370979,1.8119687876507322,1.3335188741767898,0.49174037317681374,0.8684935478383485
"$k$-means","kmeans",1,34,132.41560310955413,61.19513209646639,1.4059402938173162,1.1224598115505142,0.4681048073516958,0.8618121413057724,8.971261245907552,1.413051314987741,1.115732938285009,0.46471249593480723,0.7781113538588503
"$k$-means","kmeans",1,38,86.84568202820311,24.33131493708126,1.6706391071751443,1.2283815748046547,0.4979580086370788,0.8054348111556758,4.244955180887838,1.6774226675871275,1.2096493543683071,0.49272339357617645,0.7456139383817405
"$k$-means","kmeans",1,43,63.32912331472975,1.491008432283726,0.6190870352407942,0.5576106049856152,0.3038208440702725,0.31788501982724826,0.768896912106666,0.6096873427548619,0.5591732332637436,0.3032096849475177,0.31047098769576814
"$k$-means","kmeans",1,49,55.70718438565308,0.8084900308445216,0.4424941875232818,0.6477677923911865,0.3674378534912311,0.355649691718074,0.6996107411171506,0.440411056782993,0.6387820443584377,0.36457601615988683,0.34669327512669174
"$k$-means","kmeans",1,55,44.75760545980967,0.6801338801322168,0.3374848336767873,0.6656674751337885,0.35728677491440725,0.35545819531240147,0.6973784390711689,0.3424855239989391,0.6778677459425875,0.3598636928961455,0.3629261960104409
"$k$-means","kmeans",1,63,42.79520199658781,1.6277906730224625,0.3963664083909231,0.6019663362418952,0.32251941979672216,0.3472035478456351,0.8421532876838049,0.3962612467785875,0.6141933881294732,0.32631586464677964,0.3425374688341753
"$k$-means","kmeans",1,71,38.770219841098,0.8612446214170574,0.613326771076114,0.6507747207999302,0.33482061602028046,0.36479953575115526,0.8652049176734603,0.6152320225953549,0.6537335348781721,0.3355191281273733,0.3667699289450919
"$k$-means","kmeans",1,80,38.85610777657729,1.4079028720621534,0.5083171973162098,0.6974574704463506,0.3473142931232273,0.41030275724489984,2.0722440779562596,0.5070274447448644,0.7108830905557385,0.3522114830200715,0.4325265821329267
"$k$-means","kmeans",1,90,29.635249368636835,0.7298336874870832,0.2884166923601412,0.32949211146054386,0.23671428028943448,0.19687546926682017,0.49162362555900446,0.29179988114891303,0.3339560648634003,0.2388561354553892,0.19126408113371435
"$k$-means","kmeans",1,101,28.760135397399512,0.14649595150705044,0.17600401879699454,0.16804501604347327,0.16957499624249883,0.08536780318281235,0.1424345631022784,0.17463133461467975,0.1681628104571298,0.17156401578504604,0.08523275978627136
"$k$-means","kmeans",1,115,31.946528511920164,1.1198619517124038,0.488492872956544,0.33351534627438506,0.22529917359917448,0.20534907396502047,0.6034295591706222,0.49887940478118126,0.34624269059267787,0.2281754941647722,0.20159109313640636
"$k$-means","kmeans",1,129,26.706041644689748,0.20800020464416974,0.16132127747245917,0.15635385258162693,0.16462024158901398,0.08759341599254826,0.2570353949342684,0.15094572815743823,0.15231575845771816,0.16386112672957737,0.08835849220527033
"$k$-means","kmeans",1,146,25.767837273329327,0.5840593941497917,0.37231144862069576,0.34484180057338576,0.2196620469528606,0.1919274586036043,0.8233333870381342,0.37857473048141804,0.34047891938739744,0.21962073052605977,0.19721022214917389
"$k$-means","kmeans",1,165,26.109146159838033,0.49883975803229674,0.1722463089780662,0.11890403907570136,0.1452821439165362,0.07796004166949978,0.1996493010146685,0.17136891252874273,0.11593211723379261,0.143344036937335,0.06952992464624103
"$k$-means","kmeans",1,186,21.669334148243273,0.2613755147573525,0.2245908260349209,0.29819765171275475,0.2019023334855857,0.14523640922161626,0.2476933507805855,0.22137502988464586,0.2841128732133426,0.19662498427453948,0.13814288327871846
"$k$-means","kmeans",1,210,21.14471233562561,0.2848569006563368,0.19952083222768544,0.18297620574137927,0.1608370030922721,0.10089028258569871,0.42298287128586814,0.19934896452867454,0.19321813963843149,0.16649391996041657,0.11176555268850083
"Gini index","tree",1,21,649.5795434410168,18.71318916941639,1.1008991234499852,1.4410121009559962,0.5476351205180444,1.1396092375970546,33.833514888790994,1.1113961698301351,1.4609276427885893,0.5522973777524419,1.2277607960099486
"Gini index","tree",1,24,276.66279253981196,19.341985370231146,1.3504148859978558,1.5698843665558895,0.5719725352795098,1.2579404280101834,34.34013059921144,1.3624025756835478,1.5874079014498996,0.5765764741203943,1.3403259950102648
"Gini index","tree",1,27,161.0634238121545,11.357745172303794,0.8226962585386767,1.0547738205502224,0.42630561686592555,0.6924480952297867,2.975815092655274,0.8203333431312352,1.0706799046771118,0.428181681591318,0.6652762885413585
"Gini index","tree",1,30,145.99329997906108,1.1106808055473727,0.5214450320509423,0.8424742383296915,0.37912323294328065,0.46572667922300054,1.0274971349320878,0.5250204625395369,0.8622872039630426,0.3832906155504936,0.4724195435436431
"Gini index","tree",1,34,134.2147602847339,0.7171696888622554,0.5060399668155601,0.6895142674183635,0.3344572275642217,0.3596659287157163,0.816341383446611,0.5110985776752448,0.701125463822054,0.3375371890842128,0.37071483389515086
"Gini index","tree",1,38,125.75934964807644,1.0260101926686007,0.5783465841476788,0.9987478001340307,0.4122339903812665,0.5279787662102164,1.0546600184274788,0.5834430052916914,1.0101390446876908,0.4144868609971063,0.5355363734626142
"Gini index","tree",1,43,72.12156421583127,1.425537444291167,0.5575004545666307,0.7725507933689346,0.3681784796421902,0.4604659316796768,1.7581067111200623,0.5559863422491259,0.783726004864579,0.3706084020858453,0.4709191360761667
"Gini index","tree",1,49,61.995451670743286,0.8954568001503225,0.39782611679401,0.6244106401643543,0.3276052677696598,0.3559972813065896,0.9879491278006216,0.4012358567701526,0.63020821734151,0.32861680809569344,0.3596297045412238
"Gini index","tree",1,55,59.823439738871684,0.8903923945258331,0.34389718978472505,0.46992232108502197,0.2887270110170948,0.2845185692499218,1.1319093419239206,0.3426783416097048,0.4707710343335407,0.28878702295771136,0.28876954754469
"Gini index","tree",1,63,49.23631646412746,0.41303165877681824,0.22600276179333242,0.3491852886697579,0.24615746321217707,0.18854478421491996,0.5036079029363255,0.22596626189357075,0.3512105191784593,0.2469403169597422,0.19268998447241517
"Gini index","tree",1,71,38.5354765030161,0.3930986961223914,0.24747395476286624,0.3799446760928892,0.26124589052227004,0.20283616273078703,0.382599590011806,0.24902164080455721,0.3757516761156076,0.2603082412594594,0.19953031802813156
"Gini index","tree",1,80,31.887982445744292,0.34319720337343906,0.23357410064833842,0.36624906039823274,0.26643762152990463,0.1937619157797175,0.35485079469388237,0.23266519138077837,0.3624028755292367,0.2652778967621839,0.19223786486861685
"Gini index","tree",1,90,29.820082264873502,0.35372995060945944,0.26264991631812884,0.38534623505606574,0.2610315583318112,0.1993145722494712,0.33224836867536217,0.2641199816715432,0.3750093273519082,0.2578854657642351,0.19249825993279154
"Gini index","tree",1,101,26.69101252359481,0.28553991678053664,0.21760875291386617,0.30399027982352184,0.2092298016744369,0.1521154203234667,0.28869873344080466,0.21199015865417534,0.2915388365281987,0.2056730890583017,0.14709642974351306
"Gini index","tree",1,115,24.296496749442134,0.24765811488689005,0.20061920978605113,0.2580324926067907,0.1901326417097434,0.12919927302444453,0.23384877220350905,0.2005089723671114,0.24596370956059438,0.18618571646825463,0.12295220562203457
"Gini index","tree",1,129,22.60867849183429,0.26309027959302056,0.20153231314176148,0.23335788324120674,0.1936487739636351,0.12372518566809174,0.23451061768323095,0.19888206919423654,0.22370632325627327,0.19082924730480486,0.11728094336090444
