"name","configfile","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"strong smearing","conf/data/gaussian-high.yml",1,0,120.83221694965134,1.697326666666665,0.8151546216572461,0.36920496141991016,0.9994440068008792,23.11030262897837,1.6957739500702673,0.805904320821263,0.36609420654226454,0.9121525531032257
"strong smearing","conf/data/gaussian-high.yml",1,1,0.8922194642747412,0.45309745170962507,0.16497118583623305,0.15042915423175068,0.11288280362144175,0.436911967232837,0.44587363841358624,0.15938724530653073,0.14752800633239394,0.10555566764456194
"strong smearing","conf/data/gaussian-high.yml",1,2,0.10106126838856624,0.23276475827117218,0.057512189560359306,0.08627931751544982,0.03311938047324972,0.08215616563394965,0.2306080827963035,0.055332718542719296,0.08450796881943845,0.03137662972693915
"strong smearing","conf/data/gaussian-high.yml",1,3,0.036224745947679896,0.13404278466700686,0.027667824841526308,0.05930637353068426,0.014986978017555028,0.034457106881538656,0.13188610919213825,0.027876697653944658,0.05948339712771887,0.014958849679327195
"strong smearing","conf/data/gaussian-high.yml",1,4,0.02305102687348269,0.0813966481183901,0.019901765088707155,0.05011760078841549,0.010421326285736636,0.024624156479337956,0.0890255589365873,0.021814442184074245,0.05244951892121107,0.011358137921456814
"strong smearing","conf/data/gaussian-high.yml",1,5,0.02158008483432989,0.07980053310938276,0.019896539398432885,0.05003211398727417,0.010209746477565926,0.024784800079259522,0.08670305496959249,0.023090673623841453,0.05389041938797888,0.01182022398066974
"strong smearing","conf/data/gaussian-high.yml",1,6,0.024140848923804168,0.0847601898971801,0.023028208433950394,0.05379605717251828,0.011689653366161314,0.02848138871658402,0.09095270102161122,0.0272437891148856,0.05851226859555456,0.013823775753377461
"strong smearing","conf/data/gaussian-high.yml",1,7,0.028449356941498024,0.09256579253808686,0.02763953510659869,0.058933753551226334,0.013948380288542174,0.03370049727115784,0.09908021904900562,0.03271136862591003,0.06411622590302446,0.016517784376171192
"strong smearing","conf/data/gaussian-high.yml",1,8,0.033682747898777066,0.10171885382357113,0.033091218266768765,0.06449735378881225,0.016639852801213873,0.03971712446293799,0.10825768756065825,0.03891033020264444,0.06994375095416507,0.01958824617739152
"strong smearing","conf/data/gaussian-high.yml",1,9,0.039507396542457676,0.11005528490769399,0.03911973508456039,0.07015050361514188,0.019621903746370104,0.046243961615101074,0.11666059407244676,0.04561147165921285,0.07575387794223251,0.02291136682301161
"strong smearing","conf/data/gaussian-high.yml",1,10,0.04577072310913905,0.11761739286158719,0.045605062159933145,0.07577502377692516,0.022829689756786595,0.053153809607708484,0.12431532900828877,0.05271613672134357,0.08147557609570097,0.02643339127926765
"strong smearing","conf/data/gaussian-high.yml",1,11,0.05239472913817776,0.12469224909661639,0.05248649667119907,0.081331656221611,0.02623037909098057,0.060384084364574646,0.13141369526159538,0.06017748620819686,0.08709414225317036,0.03012856516989641
"strong smearing","conf/data/gaussian-high.yml",1,12,0.0593310522630165,0.13134757186789853,0.05972567184879736,0.08680750816763802,0.029803465447772712,0.06789611235826436,0.13807930796027595,0.06796618852805603,0.0926102392602372,0.0339809502712755
"strong smearing","conf/data/gaussian-high.yml",1,13,0.06654365158269988,0.13764823808355686,0.06729285687903015,0.09219860671903791,0.03353335835380124,0.07566002561993763,0.14442892965232296,0.07605847875020257,0.09802776188248721,0.037977942787031926
"strong smearing","conf/data/gaussian-high.yml",1,14,0.07400311836280182,0.1436489582490341,0.07516210476529964,0.09750417548334084,0.0374068281469426,0.08365041237190833,0.1505780769528086,0.08443239758133267,0.10335067341371722,0.04210829689098538
"strong smearing","conf/data/gaussian-high.yml",1,15,0.0816832300521923,0.14938889362275085,0.08330944056930853,0.10272467468150365,0.04141183833757289,0.09184354044003855,0.15649729056381534,0.09306667883903456,0.10858236933294854,0.04636129804929606
"strong smearing","conf/data/gaussian-high.yml",1,16,0.0895603761753297,0.1548965864053063,0.09171201176223549,0.10786096042347525,0.045537166156993526,0.10021744567639772,0.16233743809381193,0.10194039656005731,0.11372560824215912,0.050726655423451436
"strong smearing","conf/data/gaussian-high.yml",1,17,0.09761106599180094,0.16052438292094975,0.10034664076826658,0.11291337186574167,0.04977151053773045,0.10874972513040393,0.16844181303678687,0.11103179495638435,0.1187820300723057,0.05519374544120807
"strong smearing","conf/data/gaussian-high.yml",1,18,0.10581364890959426,0.16602839875979078,0.1091910181728986,0.11788247477533682,0.054104174970138884,0.11741923134768213,0.1743664843136711,0.12031941625476489,0.12375297088872868,0.05975226506706287
"strong smearing","conf/data/gaussian-high.yml",1,19,0.11414607987163694,0.1713469456632953,0.11822255650958975,0.12276840099254335,0.05852431858027878,0.12620455690462282,0.18009951154003312,0.12978152595063436,0.128639221738928,0.06439178907212813
"strong smearing","conf/data/gaussian-high.yml",1,20,0.1225905635389935,0.1764870377297917,0.1274219112077661,0.1275727016835055,0.06302289838931666,0.135088249937925,0.18564979698199685,0.13939934250316263,0.13344269257565722,0.06910354299841474
"strong smearing","conf/data/gaussian-high.yml",2,0,24.621443796215466,1.6893066666666656,0.8146239387289725,0.3688835159829475,0.9294669205792845,49.49534700691579,1.707356801918208,0.8103870150590468,0.36685000245061344,0.9444069195783064
"strong smearing","conf/data/gaussian-high.yml",2,1,0.5027530865841223,0.4628520328967155,0.17084525849255228,0.15362582143008874,0.1164765350630106,0.57813552264977,0.46348821276473506,0.16969925137624337,0.15231412448953366,0.1133929014861405
"strong smearing","conf/data/gaussian-high.yml",2,2,0.10407009849465897,0.24496080684998248,0.06303106970541703,0.09076879838825616,0.03714407932715003,0.10003085395635063,0.24391266147233107,0.06373811644075393,0.09085297412418586,0.036586612253996786
"strong smearing","conf/data/gaussian-high.yml",2,3,0.0439427626076736,0.14905356728545208,0.03151242921429945,0.06358141303945646,0.017649346818643438,0.04335485796434075,0.14455981756105943,0.03334471471897181,0.06515920848362994,0.01820055619819788
"strong smearing","conf/data/gaussian-high.yml",2,4,0.027657724128820987,0.10243998724064637,0.021647704838214616,0.0524586953518115,0.011772298774129952,0.02899467862115512,0.10748510751561216,0.024198461649798293,0.05531507598167244,0.012862519165729116
"strong smearing","conf/data/gaussian-high.yml",2,5,0.02341039069110047,0.08751968586066765,0.019481461577270064,0.04963386346866133,0.010369630679346865,0.025723842888914616,0.09250779392330236,0.022531163633400787,0.05328780161211818,0.011780287764464627
"strong smearing","conf/data/gaussian-high.yml",2,6,0.023676773678525536,0.08195855498003463,0.020522562834971024,0.050868176116190385,0.010769344620444274,0.026598066629579146,0.09017655287360297,0.023949109688905852,0.05489594167148286,0.01240395300431848
"strong smearing","conf/data/gaussian-high.yml",2,7,0.02605597117581022,0.08461115640491873,0.023149910420343523,0.05398570215268504,0.012044337331941681,0.029423358401936616,0.09487375484768289,0.02688269498381376,0.058140661827481004,0.013854386797284185
"strong smearing","conf/data/gaussian-high.yml",2,8,0.02964532828279074,0.09009628767523864,0.026722827201335272,0.057982375352607377,0.01383386741193162,0.03337542984902566,0.1011779731946159,0.030719133112974608,0.062143629077912245,0.015792061914446664
"strong smearing","conf/data/gaussian-high.yml",2,9,0.034058427015969214,0.09676513486093173,0.03096192789722762,0.06240517199092379,0.015981397257366144,0.03810069812040788,0.10902535971854098,0.03519433579384512,0.06651740740873353,0.01807066297192589
"strong smearing","conf/data/gaussian-high.yml",2,10,0.039108079736174556,0.10334671584630825,0.03573156531838586,0.06704171759586053,0.01841085619903033,0.04342742215893175,0.11665521809750974,0.04018139480629052,0.071081261174171,0.0206195134509392
"strong smearing","conf/data/gaussian-high.yml",2,11,0.04469196281784736,0.11023358307961714,0.040957568182049056,0.07178570845201976,0.021080585215067654,0.049261428903993265,0.12397062519921706,0.04561127742688185,0.07574396724297144,0.02340002192761449
"strong smearing","conf/data/gaussian-high.yml",2,12,0.05074453014329165,0.1175769974076159,0.046591865404498695,0.0765782127399558,0.0239636716653801,0.055541496623905014,0.13105328607651512,0.05143871135563764,0.08045361962657391,0.02638695702670027
"strong smearing","conf/data/gaussian-high.yml",2,13,0.05722003586628293,0.12479675243325228,0.05260042309716402,0.08138508051808639,0.02704115052960015,0.062224875091483604,0.1379617526353659,0.05763144356671646,0.08517940880746738,0.029562481683676915
"strong smearing","conf/data/gaussian-high.yml",2,14,0.06408247899310858,0.13186183728727047,0.05895623048314372,0.08618500490274156,0.0302980180725191,0.06927737062519555,0.1447299456052638,0.0641634286239672,0.08990140808053158,0.03291224833553104
"strong smearing","conf/data/gaussian-high.yml",2,15,0.07130216153891168,0.13878464153300302,0.06563660612728604,0.09096426679586596,0.033721768204680015,0.07667085245214758,0.15136344124627713,0.07101264951277267,0.09460643049745043,0.03642426033835547
"strong smearing","conf/data/gaussian-high.yml",2,16,0.07885161536578461,0.1455720640316468,0.07262014506423088,0.09571277572266271,0.037300704419988166,0.08437856605457313,0.15787153230449189,0.07815782259213387,0.09928428992843591,0.040087002843372486
"strong smearing","conf/data/gaussian-high.yml",2,17,0.08670593629910846,0.15222875487073187,0.07988746127463557,0.10042363881168687,0.04102424824679736,0.09237647516423712,0.16425893047203496,0.08557981261928548,0.10392796551615258,0.043890141930229075
"strong smearing","conf/data/gaussian-high.yml",2,18,0.09484345108865086,0.1587591241148896,0.08742181355928777,0.10509278765536037,0.04488326160953752,0.10064361922140398,0.17052963702882115,0.09326203112334099,0.1085331243428285,0.04782472109714706
"strong smearing","conf/data/gaussian-high.yml",2,19,0.10324042131446741,0.1651636816400346,0.095204339217771,0.10971560795355173,0.048867576847259155,0.10915679419797346,0.17668357481818428,0.10118567557823241,0.11309489087048542,0.05188069109547693
"strong smearing","conf/data/gaussian-high.yml",2,20,0.1118769558505296,0.1714503330462181,0.10321964206883584,0.11429011863595119,0.052968847190196726,0.1178965082081302,0.18272220373117595,0.10933539212823983,0.11761097441370882,0.05604979265452353
"strong smearing","conf/data/gaussian-high.yml",3,0,37.68018349329914,1.6854666666666656,0.8223704988218489,0.370959995859319,0.9636627570902788,49.07341790752441,1.6916953765175027,0.8008285995964256,0.36539770146082395,0.9407086302723954
"strong smearing","conf/data/gaussian-high.yml",3,1,0.583848051350258,0.46657866144493293,0.17142147648364114,0.15398380538680662,0.11803187321955584,0.5377370020266476,0.44693716929486094,0.1554472921054889,0.1458269407044503,0.10440893288691169
